slice_col,slice_value,horizon,n,positive_rate,mean_pred,brier,log_loss,ece_10
category,Iran,p_24h,111,0.26126126126126126,0.26267245604065714,0.011024917913551526,0.040748487161093874,0.026501652755135663
category,Iran,p_168h,96,0.16666666666666666,0.16442256614789758,0.008447575988110146,0.035012483822453505,0.029008166721796135
category,Israel,p_final,30,0.1,0.13672969817127306,0.030902424720942196,0.11310931954550218,0.04408419664552206
category,Israel,p_6h,30,0.1,0.13729636483793975,0.030997058054275533,0.11372763150920658,0.04465086331218872
category,Israel,p_24h,30,0.1,0.13929317538952,0.02935324159138399,0.1004997794030059,0.04664767386376896
category,Israel,p_168h,30,0.1,0.13634461771379316,0.02000486700784986,0.07067285812028495,0.04949911698499884
category,MLB,p_final,44,0.6136363636363636,0.5584307857765317,0.10417325007518942,0.28950026207864915,0.06643310422346828
category,MLB,p_6h,42,0.6190476190476191,0.5673267167507876,0.09580435996482936,0.26676616889966986,0.07776878705873619
category,MLB,p_24h,31,0.6129032258064516,0.6142243367166339,0.029571716245713836,0.0914917006788176,0.03655023226401866
category,MSFT,p_final,81,0.38271604938271603,0.3853794196842194,0.014206903471968981,0.050378532881738235,0.028355218748051903
category,MSFT,p_6h,71,0.352112676056338,0.35800964189643003,0.050049221861480274,0.1540425926392424,0.056446570602567345
category,MSFT,p_24h,60,0.36666666666666664,0.36013136294182574,0.056416836174085445,0.18341877907767457,0.07464181888197333
category,Mentions,p_final,233,0.5278969957081545,0.5116101156854567,0.09276887526382027,0.2900256099609207,0.04831530092525038
category,Mentions,p_6h,203,0.541871921182266,0.5394991480595547,0.08322719493650506,0.26509705198499406,0.07245053771768266
category,Mentions,p_24h,168,0.5595238095238095,0.5833154000950189,0.09001034418585108,0.2852760083895448,0.04368026842055886
category,Mentions,p_168h,67,0.6417910447761194,0.5841774250853077,0.13342736285874904,0.4032311814467412,0.09818184871617962
category,Meta,p_final,88,0.36363636363636365,0.3818805184946426,0.011133666488822618,0.047391921193855574,0.03721384314881705
category,Meta,p_6h,79,0.379746835443038,0.38132015193076835,0.07684251142592438,0.2468459301417229,0.09659320194099541
